epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.29678,1.22356,9.61208,0.67402,1.39618,1.67809,0.94667,0.96386,0.98581,0.62573,0.00014,0.00602,8e-05,2e-05,1.11667,10.5392,0.74874,1.66595,1.66786,0.000654762,0.000654762,0.000654762
2,17.1757,0.76612,8.76495,0.58048,0.57957,1.29527,0.85298,0.87374,0.92607,0.65823,0.00093,0.00602,0.00047,0.00014,1.11215,10.8829,1.38364,1.23525,1.84279,0.00130835,0.00130835,0.00130835
3,25.0224,0.79313,7.94474,0.54268,0.61056,1.30109,0.87248,0.89157,0.95286,0.67504,0.02444,0.05422,0.00297,0.00038,1.11491,8.7412,1.05958,1.22574,1.88784,0.00194873,0.00194873,0.00194873
4,32.8153,0.76451,6.92693,0.52152,0.58615,1.27119,0.88071,0.93976,0.95186,0.68805,0.18659,0.24096,0.06099,0.01143,0.87771,6.07562,0.79608,1.13753,1.45108,0.0019406,0.0019406,0.0019406
5,40.6142,0.73291,6.00369,0.50037,0.56821,1.26848,0.96993,0.97145,0.99317,0.79772,0.16058,0.14458,0.03221,0.00514,0.82863,6.76895,0.82766,0.59317,1.31602,0.0019208,0.0019208,0.0019208
6,48.4648,0.67715,5.40217,0.49185,0.51902,1.22504,0.99072,1,0.99458,0.8313,0.08958,0.09036,0.01653,0.00219,0.67511,6.56601,0.86641,0.64139,1.10912,0.001901,0.001901,0.001901
7,56.0883,0.65193,5.18317,0.47577,0.50196,1.19768,0.99381,1,0.995,0.8851,0.40114,0.40361,0.18017,0.03037,0.58485,4.91022,0.74729,0.42568,0.98381,0.0018812,0.0018812,0.0018812
8,63.5968,0.62829,4.80196,0.48089,0.47314,1.19898,0.99438,1,0.995,0.88922,0.55659,0.56024,0.38548,0.1012,0.55478,4.56817,0.80616,0.42349,0.95112,0.0018614,0.0018614,0.0018614
9,70.7854,0.61746,4.59437,0.45631,0.48462,1.17527,0.9736,0.9759,0.99224,0.87263,0.70439,0.70482,0.58734,0.18212,0.56748,4.14596,0.8126,0.44275,0.97906,0.0018416,0.0018416,0.0018416
10,77.9978,0.58757,4.38821,0.45599,0.45488,1.16255,0.98723,1,0.99476,0.83661,0.79373,0.79518,0.76838,0.25747,0.57551,3.75796,0.7562,0.42144,1.01886,0.0018218,0.0018218,0.0018218
